"time","sample_id","variable","value","horizon","treatment","ftc"
"post-freeze","OTB-101","weoc_mg_kg",9.73,"B","freeze-thaw",1
"post-freeze","OTB-102","weoc_mg_kg",9.42,"B","freeze-thaw",1
"post-freeze","OTB-103","weoc_mg_kg",7.81,"B","freeze-thaw",1
"post-freeze","OTB-104","weoc_mg_kg",12.65,"B","freeze-thaw",1
"post-freeze","OTB-105","weoc_mg_kg",12.06,"B","freeze-thaw",1
"post-freeze","OTB-201","weoc_mg_kg",9.7,"B","freeze-thaw",2
"post-freeze","OTB-202","weoc_mg_kg",14.15,"B","freeze-thaw",2
"post-freeze","OTB-203","weoc_mg_kg",9.5,"B","freeze-thaw",2
"post-freeze","OTB-204","weoc_mg_kg",9.03,"B","freeze-thaw",2
"post-freeze","OTB-205","weoc_mg_kg",12.57,"B","freeze-thaw",2
"post-freeze","OTB-301","weoc_mg_kg",9.64,"B","freeze-thaw",6
"post-freeze","OTB-302","weoc_mg_kg",9.6,"B","freeze-thaw",6
"post-freeze","OTB-303","weoc_mg_kg",10.96,"B","freeze-thaw",6
"post-freeze","OTB-304","weoc_mg_kg",10.07,"B","freeze-thaw",6
"post-freeze","OTB-305","weoc_mg_kg",7.69,"B","freeze-thaw",6
"post-freeze","OTB-401","weoc_mg_kg",20.56,"B","control",NA
"post-freeze","OTB-402","weoc_mg_kg",28.65,"B","control",NA
"post-freeze","OTB-403","weoc_mg_kg",21.58,"B","control",NA
"post-freeze","OTB-404","weoc_mg_kg",27.76,"B","control",NA
"post-freeze","OTB-405","weoc_mg_kg",5.83,"B","control",NA
